Number,Date,End Time,Avg. Volt,Max. Amp,Max. Time,Avg. Amp,KW Hours,Max. KW,Max. Time,Avg. KW,Avg. KVA,Avg. PF,Avg. KVAR,Avg. Volt,Max. Amp,Max. Time,Avg. Amp,KW Hours,Max. KW,Max. Time,Avg. KW,Avg. KVA,Avg. PF,Avg. KVAR,Avg. Volt,Max. Amp,Max. Time,Avg. Amp,KW Hours,Max. KW,Max. Time,Avg. KW,Avg. KVA,Avg. PF,Avg. KVAR,Avg. Amp,KW Hours,Max. KW,Max. Time,Avg. KW,net(kW-H)-1,net(kW-H)-2,net(kW-H)-3,net(kW-H)-5,Net kW-H,Counts
,,,L3 Phase,L3 Phase,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,L3 Phase,L3 Phase,L3 Phase,L3 Phase,L3 Phase,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,L3 Phase,L3 Phase,L3 Phase,L3 Phase,L3 Phase,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,L3 Phase,L3 Phase,L3 Phase,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,0,7.409,68.628,32.506,108.543,1060
15795,7/25/2016,11:05:00,120.821,13.83,11:02:35,1.59,0.001,-0.539,11:02:35,0.014,0.201,0.96,0.056,120.821,13.83,11:02:35,1.59,0.001,-0.539,11:02:35,0.014,0.201,0.96,0.056,120.821,13.83,11:02:35,1.59,0.001,-0.539,11:02:35,0.014,0.201,0.96,0.056,1.59,0.001,-0.539,11:02:35,0.014,0,0,0.015,0,0.015,1
15797,7/25/2016,11:15:00,120.738,5.31,11:10:48,0.3,0.001,-0.787,11:10:48,0.007,0.047,0.45,0.029,120.738,5.31,11:10:48,0.3,0.001,-0.787,11:10:48,0.007,0.047,0.45,0.029,120.738,5.31,11:10:48,0.3,0.001,-0.787,11:10:48,0.007,0.047,0.45,0.029,0.3,0.001,-0.787,11:10:48,0.007,0,0.002,0,0,0.002,1
15803,7/25/2016,11:45:00,120.203,11.02,11:42:42,1.22,0.002,0.921,11:42:42,0.02,0.167,0.91,0.058,120.203,11.02,11:42:42,1.22,0.002,0.921,11:42:42,0.02,0.167,0.91,0.058,120.203,11.02,11:42:42,1.22,0.002,0.921,11:42:42,0.02,0.167,0.91,0.058,1.22,0.002,0.921,11:42:42,0.02,0,0,0.011,0.002,0.013,1
15805,7/25/2016,11:55:00,120.014,11.29,11:50:06,9.77,0.009,-0.562,11:50:06,0.106,1.236,0.97,0.299,120.014,11.29,11:50:06,9.77,0.009,-0.562,11:50:06,0.106,1.236,0.97,0.299,120.014,11.29,11:50:06,9.77,0.009,-0.562,11:50:06,0.106,1.236,0.97,0.299,9.77,0.009,-0.562,11:50:06,0.106,0,0,0.1,0.009,0.109,1
15806,7/25/2016,12:00:00,120.05,22.3,11:55:30,0.85,0.002,2.343,11:55:30,0.019,0.121,0.98,0.022,120.05,22.3,11:55:30,0.85,0.002,2.343,11:55:30,0.019,0.121,0.98,0.022,120.05,22.3,11:55:30,0.85,0.002,2.343,11:55:30,0.019,0.121,0.98,0.022,0.85,0.002,2.343,11:55:30,0.019,0,0,0.009,0.002,0.011,1
15816,7/25/2016,12:50:00,120.493,11.07,12:45:14,4.52,0.005,-1.837,12:45:14,0.058,0.584,0.97,0.141,120.493,11.07,12:45:14,4.52,0.005,-1.837,12:45:14,0.058,0.584,0.97,0.141,120.493,11.07,12:45:14,4.52,0.005,-1.837,12:45:14,0.058,0.584,0.97,0.141,4.52,0.005,-1.837,12:45:14,0.058,0,0,0.046,0.005,0.051,1
15819,7/25/2016,13:05:00,120.136,31.69,13:02:17,5.94,0.006,3.177,13:02:17,0.069,0.757,0.97,0.18,120.136,31.69,13:02:17,5.94,0.006,3.177,13:02:17,0.069,0.757,0.97,0.18,120.136,31.69,13:02:17,5.94,0.006,3.177,13:02:17,0.069,0.757,0.97,0.18,5.94,0.006,3.177,13:02:17,0.069,0,0,0.06,0.006,0.066,1
15820,7/25/2016,13:10:00,120.045,11.27,13:08:03,10.49,0.009,0.12,13:08:03,0.107,1.321,0.97,0.306,120.045,11.27,13:08:03,10.49,0.009,0.12,13:08:03,0.107,1.321,0.97,0.306,120.045,11.27,13:08:03,10.49,0.009,0.12,13:08:03,0.107,1.321,0.97,0.306,10.49,0.009,0.12,13:08:03,0.107,0,0,0.107,0.009,0.116,1
15821,7/25/2016,13:15:00,119.936,13.02,13:14:17,10.46,0.01,0.356,13:14:17,0.121,1.324,0.97,0.316,119.936,13.02,13:14:17,10.46,0.01,0.356,13:14:17,0.121,1.324,0.97,0.316,119.936,13.02,13:14:17,10.46,0.01,0.356,13:14:17,0.121,1.324,0.97,0.316,10.46,0.01,0.356,13:14:17,0.121,0,0,0.107,0.01,0.117,1
15822,7/25/2016,13:20:00,119.901,12.32,13:18:39,10.99,0.022,0.27,13:18:39,0.258,1.457,0.96,0.401,119.901,12.32,13:18:39,10.99,0.022,0.27,13:18:39,0.258,1.457,0.96,0.401,119.901,12.32,13:18:39,10.99,0.022,0.27,13:18:39,0.258,1.457,0.96,0.401,10.99,0.022,0.27,13:18:39,0.258,0,0,0.117,0.022,0.139,1
15823,7/25/2016,13:25:00,119.953,12.44,13:23:12,10.96,0.022,0.283,13:23:12,0.266,1.456,0.96,0.399,119.953,12.44,13:23:12,10.96,0.022,0.283,13:23:12,0.266,1.456,0.96,0.399,119.953,12.44,13:23:12,10.96,0.022,0.283,13:23:12,0.266,1.456,0.96,0.399,10.96,0.022,0.283,13:23:12,0.266,0,0,0.117,0.022,0.139,1
15824,7/25/2016,13:30:00,120.362,12.3,13:25:34,10.95,0.023,0.284,13:25:34,0.272,1.462,0.96,0.403,120.362,12.3,13:25:34,10.95,0.023,0.284,13:25:34,0.272,1.462,0.96,0.403,120.362,12.3,13:25:34,10.95,0.023,0.284,13:25:34,0.272,1.462,0.96,0.403,10.95,0.023,0.284,13:25:34,0.272,0,0,0.117,0.023,0.14,1
15825,7/25/2016,13:35:00,120.345,12.67,13:33:31,10.92,0.022,0.291,13:33:31,0.267,1.458,0.96,0.401,120.345,12.67,13:33:31,10.92,0.022,0.291,13:33:31,0.267,1.458,0.96,0.401,120.345,12.67,13:33:31,10.92,0.022,0.291,13:33:31,0.267,1.458,0.96,0.401,10.92,0.022,0.291,13:33:31,0.267,0,0,0.117,0.022,0.139,1
15826,7/25/2016,13:40:00,120.157,12.22,13:37:21,10.88,0.022,0.275,13:37:21,0.261,1.449,0.96,0.399,120.157,12.22,13:37:21,10.88,0.022,0.275,13:37:21,0.261,1.449,0.96,0.399,120.157,12.22,13:37:21,10.88,0.022,0.275,13:37:21,0.261,1.449,0.96,0.399,10.88,0.022,0.275,13:37:21,0.261,0,0,0.116,0.022,0.138,1
15827,7/25/2016,13:45:00,120.178,12.19,13:44:05,10.85,0.021,0.273,13:44:05,0.257,1.445,0.96,0.4,120.178,12.19,13:44:05,10.85,0.021,0.273,13:44:05,0.257,1.445,0.96,0.4,120.178,12.19,13:44:05,10.85,0.021,0.273,13:44:05,0.257,1.445,0.96,0.4,10.85,0.021,0.273,13:44:05,0.257,0,0,0.116,0.021,0.137,1
15828,7/25/2016,13:50:00,120.249,12.18,13:49:52,10.84,0.021,0.268,13:49:52,0.254,1.443,0.96,0.4,120.249,12.18,13:49:52,10.84,0.021,0.268,13:49:52,0.254,1.443,0.96,0.4,120.249,12.18,13:49:52,10.84,0.021,0.268,13:49:52,0.254,1.443,0.96,0.4,10.84,0.021,0.268,13:49:52,0.254,0,0,0.116,0.021,0.137,1
15829,7/25/2016,13:55:00,120.402,12.19,13:52:53,10.84,0.022,0.276,13:52:53,0.261,1.447,0.96,0.401,120.402,12.19,13:52:53,10.84,0.022,0.276,13:52:53,0.261,1.447,0.96,0.401,120.402,12.19,13:52:53,10.84,0.022,0.276,13:52:53,0.261,1.447,0.96,0.401,10.84,0.022,0.276,13:52:53,0.261,0,0,0.116,0.022,0.138,1
15830,7/25/2016,14:00:00,120.499,12.13,13:55:12,10.83,0.022,0.276,13:55:12,0.262,1.447,0.96,0.402,120.499,12.13,13:55:12,10.83,0.022,0.276,13:55:12,0.262,1.447,0.96,0.402,120.499,12.13,13:55:12,10.83,0.022,0.276,13:55:12,0.262,1.447,0.96,0.402,10.83,0.022,0.276,13:55:12,0.262,0,0,0.116,0.022,0.138,1
15831,7/25/2016,14:05:00,120.5,12.18,14:02:55,10.82,0.022,0.279,14:02:55,0.258,1.445,0.96,0.402,120.5,12.18,14:02:55,10.82,0.022,0.279,14:02:55,0.258,1.445,0.96,0.402,120.5,12.18,14:02:55,10.82,0.022,0.279,14:02:55,0.258,1.445,0.96,0.402,10.82,0.022,0.279,14:02:55,0.258,0,0,0.116,0.022,0.138,1
15832,7/25/2016,14:10:00,120.48,12.13,14:09:35,10.8,0.022,0.27,14:09:35,0.258,1.443,0.96,0.401,120.48,12.13,14:09:35,10.8,0.022,0.27,14:09:35,0.258,1.443,0.96,0.401,120.48,12.13,14:09:35,10.8,0.022,0.27,14:09:35,0.258,1.443,0.96,0.401,10.8,0.022,0.27,14:09:35,0.258,0,0,0.116,0.022,0.138,1
15833,7/25/2016,14:15:00,120.428,12.11,14:14:53,10.78,0.022,0.275,14:14:53,0.263,1.441,0.96,0.401,120.428,12.11,14:14:53,10.78,0.022,0.275,14:14:53,0.263,1.441,0.96,0.401,120.428,12.11,14:14:53,10.78,0.022,0.275,14:14:53,0.263,1.441,0.96,0.401,10.78,0.022,0.275,14:14:53,0.263,0,0,0.115,0.022,0.137,1
15834,7/25/2016,14:20:00,120.437,12.06,14:17:49,10.77,0.022,0.271,14:17:49,0.258,1.439,0.96,0.401,120.437,12.06,14:17:49,10.77,0.022,0.271,14:17:49,0.258,1.439,0.96,0.401,120.437,12.06,14:17:49,10.77,0.022,0.271,14:17:49,0.258,1.439,0.96,0.401,10.77,0.022,0.271,14:17:49,0.258,0,0,0.115,0.022,0.137,1
